Region,Province,District,ContractID,Contractor,Road(KM),Bridge(M),Structure(M),Cost(USD),ContractSignDate,PlanStartDate,ActualStartDate,PlanCompletionDate,ActualCompletionDate,Status,LabourDay,PhysicalProgress,StatusID,ProjectID,ContractTypeID,Project,ContractorID,DistrictID,ProvinceID,SurfaceOption
Kabul,Parwan,Bagram,RRD/TF/NERAP/KBL/PRN/033/C1/002,Community,1.07,,3.6,33201.94,21-Sep-13,20-Sep-13,1-Oct-13,20-Dec-13,19-Dec-13,Completed,1388,100,4,17,2,NERAP - MRRD - TF,2,58,6,Gravelling
Kabul,Parwan,Chaharikar,RRD/TF/NERAP/KBL/PRN/059/C1/001,Community,1.5,,,34211.54,30-Mar-13,30-Mar-13,30-Mar-13,2-Jul-13,30-Sep-13,Completed,2598,100,4,17,2,NERAP - MRRD - TF,2,51,6,Gravelling
Kabul,Parwan,Chaharikar,RRD/TF/NERAP/KBL/PRN/059/C1/002,Community,1.5,,,38548.42,30-Mar-13,30-Mar-13,30-Mar-13,2-Jul-13,22-Sep-13,Completed,2468,100,4,17,2,NERAP - MRRD - TF,2,51,6,Gravelling
Kabul,Parwan,Chaharikar,RRD/TF/NERAP/KBL/PRN/059/C1/003,Community,1.4,,,46719.07,30-Mar-13,30-Mar-13,30-Mar-13,2-Jul-13,22-Sep-13,Completed,2520,100,4,17,2,NERAP - MRRD - TF,2,51,6,Gravelling
North East,Baghlan,Khinjan,RRD/TF/NERAP/NRHE/BGN/008/C2/001,Sanjar Construction Company,14.75,12,481.2,403545.69,29-Jun-11,2-Jul-11,25-Jul-11,3-Nov-12,29-Jun-13,Completed,7737,100,4,17,2,NERAP - MRRD - TF,1425,161,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/001,Community,1,,,32071.95,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,1703,100,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/002,Community,3,,,40900.24,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,2112,100,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/003,Community,3,,2.2,35632.93,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,1907,99.99999988,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/004,Community,1.4,,71,39413.27,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,2236,100,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/005,Community,2.6,,5.6,40624.02,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,1996,100.0000002,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/006,Community,2.5,,2.2,26763.84,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,1407,100,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/007,Community,2,,22.2,40894.8,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,2275,99.99999928,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
North East,Baghlan,Baghlani Jadid,RRD/TF/NERAP/NRHE/BGN/040/C1/008,Community,3,,3,40869.13,13-May-13,30-May-13,30-Mar-13,27-Aug-13,29-Nov-13,Completed,2168,99.99999928,4,17,2,NERAP - MRRD - TF,2,166,15,Gravelling
